school_name,mainlevel_code,Longitude,Latitude
QUEENSTOWN PRIMARY SCHOOL,PRIMARY,103.8078038,1.2959937
QUEENSTOWN SECONDARY SCHOOL,SECONDARY,-71.39041,41.7710745
QUEENSWAY SECONDARY SCHOOL,SECONDARY,103.8020329,1.3005169
RADIN MAS PRIMARY SCHOOL,PRIMARY,103.8238563,1.2749703
RAFFLES GIRLS' PRIMARY SCHOOL,PRIMARY,103.8063432,1.3298664
RAFFLES GIRLS' SCHOOL (SECONDARY),SECONDARY,103.8432826,1.3430614
RAFFLES INSTITUTION,MIXED LEVELS,103.8456507,1.3477464
RED SWASTIKA SCHOOL,PRIMARY,103.9346488,1.3333119
REGENT SECONDARY SCHOOL,SECONDARY,103.7511802,1.3940776
RIVER VALLEY HIGH SCHOOL,MIXED LEVELS,103.7095028,1.3438944
RIVER VALLEY PRIMARY SCHOOL,PRIMARY,103.8363542,1.29387
RIVERSIDE PRIMARY SCHOOL,PRIMARY,103.8017786,1.4470785
RIVERSIDE SECONDARY SCHOOL,SECONDARY,103.7885427,1.4404733
RIVERVALE PRIMARY SCHOOL,PRIMARY,103.9043809,1.393272
ROSYTH SCHOOL,PRIMARY,103.8750515,1.372736
RULANG PRIMARY SCHOOL,PRIMARY,103.7188285,1.3469655
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",SECONDARY,-75.37511599999999,39.7621362
"SCHOOL OF THE ARTS, SINGAPORE",MIXED LEVELS,103.8487574,1.2994132
SEMBAWANG PRIMARY SCHOOL,PRIMARY,103.8211818,1.4453895
SEMBAWANG SECONDARY SCHOOL,SECONDARY,103.8172117,1.4458198
SENG KANG PRIMARY SCHOOL,PRIMARY,103.899721,1.389817
SENG KANG SECONDARY SCHOOL,SECONDARY,103.8985519,1.386559
SENGKANG GREEN PRIMARY SCHOOL,PRIMARY,103.8750348,1.3928298
SERANGOON GARDEN SECONDARY SCHOOL,SECONDARY,103.8694184,1.3695073
SERANGOON SECONDARY SCHOOL,SECONDARY,103.9022586,1.3750545
SHUQUN PRIMARY SCHOOL,PRIMARY,103.7215401,1.3475029
SI LING PRIMARY SCHOOL,PRIMARY,103.7859154,1.4328411
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,PRIMARY,103.828107,1.3211127
SINGAPORE CHINESE GIRLS' SCHOOL,SECONDARY,103.828107,1.3211127
SINGAPORE SPORTS SCHOOL,MIXED LEVELS,103.789056,1.426703
SOUTH VIEW PRIMARY SCHOOL,PRIMARY,103.7461713,1.3816949
SPECTRA SECONDARY SCHOOL,SECONDARY,103.8046821,1.4365125
SPRINGDALE PRIMARY SCHOOL,PRIMARY,103.8901125,1.3951189
SPRINGFIELD SECONDARY SCHOOL,SECONDARY,103.9300265,1.349796
ST. ANDREW'S JUNIOR COLLEGE,JUNIOR COLLEGE,103.8630605,1.333222
ST. ANDREW'S JUNIOR SCHOOL,PRIMARY,103.8651164,1.331325
ST. ANDREW'S SECONDARY SCHOOL,SECONDARY,103.8658417,1.331532
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,PRIMARY,103.9435588,1.3349612
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,SECONDARY,103.9435588,1.3349612
ST. ANTHONY'S PRIMARY SCHOOL,PRIMARY,103.7490186,1.3642757
ST. GABRIEL'S PRIMARY SCHOOL,PRIMARY,103.8614704,1.3501699
ST. GABRIEL'S SECONDARY SCHOOL,SECONDARY,103.8754112,1.347023
ST. HILDA'S PRIMARY SCHOOL,PRIMARY,103.9367967,1.3492906
ST. HILDA'S SECONDARY SCHOOL,SECONDARY,103.9370129,1.3496839
ST. JOSEPH'S INSTITUTION,MIXED LEVELS,103.8289312,1.3238015
ST. JOSEPH'S INSTITUTION JUNIOR,PRIMARY,103.8457419,1.3167821
ST. MARGARET'S SCHOOL (PRIMARY),PRIMARY,103.8456785,1.303732
ST. MARGARET'S SCHOOL (SECONDARY),SECONDARY,103.8095942,1.3199814
ST. PATRICK'S SCHOOL,SECONDARY,103.9169367,1.3088628
ST. STEPHEN'S SCHOOL,PRIMARY,103.9184626,1.3190605
SWISS COTTAGE SECONDARY SCHOOL,SECONDARY,103.7505642,1.3647753
