STATION_NA,coordinates
LITTLE INDIA MRT STATION,"[[103.84936002946, 1.30560525103922], [103.848985089711, 1.30656355535778], [103.848999982241, 1.30685473719087], [103.849704822933, 1.30635155408624], [103.850322159955, 1.30742644439895], [103.848304399136, 1.30768353655885]]"
LORONG CHUAN MRT STATION,"[[103.862918299956, 1.35173853791277], [103.864933673465, 1.35143910357514]]"
MACPHERSON MRT STATION,"[[103.889793336526, 1.3266787588073], [103.890665675221, 1.32585503018196], [103.890262565574, 1.32548152990651], [103.888615211677, 1.32619277755048], [103.888454834376, 1.32514545867968]]"
MARINA BAY MRT STATION,"[[103.854470032954, 1.27735303297793], [103.854319501956, 1.27469326445441], [103.856488836263, 1.27363420910955], [103.85537174149, 1.27541636589719], [103.85500333792, 1.27615893131623]]"
MARINA SOUTH MRT STATION,"[[103.861503878728, 1.27357480448593], [103.861777210111, 1.27385994951971], [103.862894304629, 1.27313520508679], [103.862668508874, 1.27551141461164]]"
MARINA SOUTH PIER MRT STATION,"[[103.86233005097, 1.27052998951863], [103.863579669764, 1.27143783716222]]"
MARSILING MRT STATION,"[[103.774410520697, 1.43275137172006], [103.773997133375, 1.43275136098458], [103.773820451036, 1.43246952240006], [103.774210493312, 1.43280169435331]]"
MARYMOUNT MRT STATION,"[[103.840058918077, 1.34786607217308], [103.839087956801, 1.34898038642137]]"
MATTAR MRT STATION,"[[103.882732067245, 1.3272514140918], [103.883748387313, 1.32646352216707]]"
MAXWELL MRT STATION,"[[103.842916305543, 1.28019152238094], [103.844164413475, 1.28103425526259], [103.844895459262, 1.28091943659091]]"
MAYFLOWER MRT STATION,"[[103.837461041245, 1.37353209209743], [103.837031676998, 1.37371976104919], [103.83671675131, 1.37270397234703], [103.83628496724, 1.37137730761848], [103.836795978097, 1.37127632290154], [103.836760326587, 1.37077733815485], [103.836308734746, 1.37089614419322]]"
MERIDIAN LRT STATION,"[[103.908965833187, 1.39668105013866], [103.908869496154, 1.39712168979943]]"
MOUNTBATTEN MRT STATION,"[[103.883248292704, 1.30604592566075], [103.882597535734, 1.30675271022847]]"
NAPIER MRT STATION,"[[103.819483777776, 1.30693598792234], [103.819506621185, 1.3063449793684]]"
NEWTON MRT STATION,"[[103.837881325391, 1.31259779668808], [103.838219069361, 1.31207546212127], [103.838242381635, 1.31361726914981]]"
NIBONG LRT STATION,"[[103.900073808053, 1.4117727733571], [103.900531554207, 1.4119103237023]]"
NICOLL HIGHWAY MRT STATION,"[[103.864151747702, 1.29966075968377], [103.863505955243, 1.30016968970884]]"
NOVENA MRT STATION,"[[103.843339733476, 1.31989588603478], [103.844389333871, 1.32109486830236]]"
OASIS LRT STATION,"[[103.912646133061, 1.40250713144757], [103.912754573795, 1.4021037193748]]"
ONE-NORTH MRT STATION,"[[103.787927806168, 1.30035949347946], [103.786907466321, 1.29902749872281], [103.787565456204, 1.29971469760634], [103.787784810554, 1.30007470288421]]"
ORCHARD BOULEVARD MRT STATION,"[[103.823637898436, 1.30362395339039], [103.82389561212, 1.30246332428451]]"
ORCHARD MRT STATION,"[[103.830496723547, 1.30421797905404], [103.831126574248, 1.30404570543486], [103.831506861841, 1.30366551621641], [103.83178613556, 1.30344571958931], [103.832124829631, 1.30229921132352], [103.832023815157, 1.30394471745993], [103.832320915154, 1.30364769526593], [103.830663098953, 1.30285761474898], [103.832770796508, 1.30416113765593], [103.832171601239, 1.30316753447888], [103.832039800882, 1.30456047411925], [103.832524259379, 1.30489217813715], [103.832619611515, 1.30435439856042]]"
OUTRAM PARK MRT STATION,"[[103.838117129674, 1.28232163095245], [103.838640195189, 1.2810220177189], [103.83978923248, 1.28099327615611], [103.838657701712, 1.2816024282435], [103.838934837217, 1.28167534568857], [103.840386787096, 1.28021335386912], [103.839549241441, 1.2789469557329], [103.838537251968, 1.27905123851202]]"
PASIR PANJANG MRT STATION,"[[103.79203018692, 1.27600323278505]]"
PASIR RIS MRT STATION,"[[103.949136940349, 1.37288623635201], [103.949333426645, 1.37284196908053]]"
PAYA LEBAR MRT STATION,"[[103.892788324105, 1.31821599215008], [103.892217168632, 1.31834746689885], [103.891721121592, 1.31814928543131], [103.892077699246, 1.31658771946928]]"
PENDING LRT STATION,"[[103.771327842297, 1.37629711719364]]"
PETIR LRT STATION,"[[103.766793014963, 1.37760322809516]]"
PHOENIX LRT STATION,"[[103.758252475106, 1.37861406821397]]"
PIONEER MRT STATION,"[[103.697155373411, 1.33734462692044], [103.697129452876, 1.33783162800548]]"
POTONG PASIR MRT STATION,"[[103.868966444703, 1.33280135224287], [103.868703893188, 1.33106671097983], [103.869333239363, 1.33114814073399]]"
PROMENADE MRT STATION,"[[103.860673611302, 1.29171166099886], [103.860136884402, 1.29386208787626], [103.860236484112, 1.29410275636151]]"
PUNGGOL LRT STATION,"[[103.901798524363, 1.40443833617806], [103.902115639183, 1.40430062572978]]"
PUNGGOL MRT STATION,"[[103.902305996656, 1.40533957622685], [103.902598196988, 1.40518624176365]]"
PUNGGOL POINT LRT STATION,"[[103.906693304924, 1.41666406794097], [103.906817792333, 1.41691476791429]]"
QUEENSTOWN MRT STATION,"[[103.806182777133, 1.29424726215095], [103.806311472758, 1.29432990890605], [103.805584729896, 1.2954462560701], [103.805492204888, 1.29538293052613]]"
RAFFLES PLACE MRT STATION,"[[103.851621715866, 1.28525828120125], [103.851522595155, 1.28321158212436], [103.851479978299, 1.28460687453702], [103.851478131997, 1.28501689730178], [103.851438353658, 1.28412514770369], [103.851353214562, 1.28364139087742], [103.851562535487, 1.28363052072741], [103.851296033431, 1.28262623356678], [103.850960902093, 1.28253857491919], [103.851433302399, 1.28238230729746]]"
RANGGUNG LRT STATION,"[[103.897321723817, 1.3841763860699], [103.897223938055, 1.38410488340512]]"
REDHILL MRT STATION,"[[103.816994458553, 1.28937070467351], [103.81724937308, 1.28948587536099]]"
RENJONG LRT STATION,"[[103.890409161732, 1.38669795588852], [103.890438192124, 1.38681414421555]]"
RIVIERA LRT STATION,"[[103.915935470521, 1.39455906596969], [103.916263098527, 1.3943256111184]]"
ROCHOR MRT STATION,"[[103.852375021633, 1.30340410653552], [103.853104335649, 1.30421477703374]]"
RUMBIA LRT STATION,"[[103.906018791652, 1.39134048641742], [103.906105819366, 1.39141424178713]]"
SAM KEE LRT STATION,"[[103.904792279936, 1.40982767244172], [103.905038571005, 1.40970250004176]]"
SAMUDERA LRT STATION,"[[103.901911509627, 1.41586536048285], [103.902361560111, 1.41590585709171]]"
SEGAR LRT STATION,"[[103.769409914802, 1.38781155599523]]"
SEMBAWANG MRT STATION,"[[103.819758966004, 1.44915683716069], [103.820109735758, 1.44883731943313], [103.819790204572, 1.44876826032584], [103.820401560292, 1.44892733153759]]"
SENGKANG MRT STATION,"[[103.89570545661, 1.39237084363153], [103.895636894365, 1.39179563766207], [103.895405720754, 1.39182911971822], [103.895209399885, 1.39088158609449]]"
SENJA LRT STATION,"[[103.762325766572, 1.3828754471752]]"
SERANGOON MRT STATION,"[[103.872866695396, 1.35079019941389], [103.873641321904, 1.34983373825613], [103.872902116341, 1.3508202454304], [103.873546495734, 1.34972769951436], [103.873957395391, 1.349481680255], [103.874321946576, 1.3499015921065], [103.873694014498, 1.35059510442143], [103.871449340349, 1.35094827793695]]"
SHENTON WAY MRT STATION,"[[103.851835707382, 1.27746205833565], [103.851807978051, 1.2771436461189], [103.851034086049, 1.27765594176983], [103.850915094628, 1.27700305442423], [103.850128771071, 1.27762958112669], [103.849893223277, 1.27792920509497]]"
SIMEI MRT STATION,"[[103.953818676297, 1.34266179453371]]"
SIXTH AVENUE MRT STATION,"[[103.796566082121, 1.33078046994618], [103.796848178229, 1.33152130143572]]"
SOMERSET MRT STATION,"[[103.838399326576, 1.3000284884874], [103.838458985164, 1.30076651877174], [103.838765584281, 1.30043622058993], [103.839734148085, 1.30024113867986]]"
SOO TECK LRT STATION,"[[103.897029921817, 1.40501492486707], [103.897408572121, 1.40524489949914]]"
SOUTH VIEW LRT STATION,"[[103.74510113108, 1.38031765699103]]"
SPRINGLEAF MRT STATION,"[[103.818390607138, 1.39782080405751], [103.818081623801, 1.39768417887856], [103.818003414954, 1.39878724836535]]"
STADIUM MRT STATION,"[[103.876226233975, 1.30337022602025], [103.874399988289, 1.3025110877234]]"
STEVENS MRT STATION,"[[103.826322577145, 1.32093774341441], [103.825882869659, 1.32151990425561], [103.825728378177, 1.31995163510642], [103.826013593581, 1.31882889618825], [103.824991570643, 1.31947046099515]]"
SUMANG LRT STATION,"[[103.898335680078, 1.40836843102047], [103.898757123956, 1.40848790183837]]"
TAI SENG MRT STATION,"[[103.887627437262, 1.33591408492645], [103.888214067772, 1.33462087723075]]"
TAMPINES EAST MRT STATION,"[[103.954540440781, 1.35646076166742], [103.955704711379, 1.35555317150178], [103.955170014221, 1.35558822639472], [103.955717437922, 1.35697019355667]]"
TAMPINES MRT STATION,"[[103.943678182032, 1.35487057481792], [103.942723496695, 1.35459633872811], [103.945089563334, 1.35353908166709], [103.942653681878, 1.35419392760642], [103.944766312107, 1.35376401254022], [103.944903957895, 1.35339831264921], [103.942658810694, 1.35585344476425]]"
